discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year
Fencing,Men's Épée Team,Men,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Épée Team,Men,BRONZE,GameTeam,Republic of Korea,,,South Korea,KR,KOR,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Foil Team,Women,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Foil Team,Women,SILVER,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Foil Team,Women,BRONZE,GameTeam,Italy,,,Italy,IT,ITA,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Sabre Team,Women,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Sabre Team,Women,SILVER,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Sabre Team,Women,BRONZE,GameTeam,Republic of Korea,,,South Korea,KR,KOR,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Sabre Team,Men,GOLD,GameTeam,Republic of Korea,,,South Korea,KR,KOR,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Sabre Team,Men,SILVER,GameTeam,Italy,,,Italy,IT,ITA,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Sabre Team,Men,BRONZE,GameTeam,Hungary,,,Hungary,HU,HUN,Japan,Tokyo 2020,Summer,2020
Water Polo,Men,Men,GOLD,GameTeam,Serbia,,,Serbia,RS,SRB,Japan,Tokyo 2020,Summer,2020
Water Polo,Men,Men,SILVER,GameTeam,Greece,,,Greece,GR,GRE,Japan,Tokyo 2020,Summer,2020
Water Polo,Men,Men,BRONZE,GameTeam,Hungary,,,Hungary,HU,HUN,Japan,Tokyo 2020,Summer,2020
Water Polo,Women,Women,GOLD,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Water Polo,Women,Women,SILVER,GameTeam,Spain,,,Spain,ES,ESP,Japan,Tokyo 2020,Summer,2020
Water Polo,Women,Women,BRONZE,GameTeam,Hungary,,,Hungary,HU,HUN,Japan,Tokyo 2020,Summer,2020
Artistic Gymnastics,Men's Team,Men,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Artistic Gymnastics,Men's Team,Men,SILVER,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Artistic Gymnastics,Men's Team,Men,BRONZE,GameTeam,People's Republic of China,,,China,CN,CHN,Japan,Tokyo 2020,Summer,2020
Artistic Gymnastics,Women's Team,Women,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Artistic Gymnastics,Women's Team,Women,SILVER,GameTeam,United States of America,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Artistic Gymnastics,Women's Team,Women,BRONZE,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Judo,Mixed Team,Mixed,GOLD,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Judo,Mixed Team,Mixed,SILVER,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Judo,Mixed Team,Mixed,BRONZE,GameTeam,Germany,,,Germany,DE,GER,Japan,Tokyo 2020,Summer,2020
Judo,Mixed Team,Mixed,BRONZE,GameTeam,Israel,,,Israel,IL,ISR,Japan,Tokyo 2020,Summer,2020
Archery,Women's Team,Women,GOLD,GameTeam,Republic of Korea,,,South Korea,KR,KOR,Japan,Tokyo 2020,Summer,2020
Archery,Women's Team,Women,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Archery,Women's Team,Women,BRONZE,GameTeam,Germany,,,Germany,DE,GER,Japan,Tokyo 2020,Summer,2020
Archery,Men's Team,Men,GOLD,GameTeam,Republic of Korea,,,South Korea,KR,KOR,Japan,Tokyo 2020,Summer,2020
Archery,Men's Team,Men,SILVER,GameTeam,Chinese Taipei,,,Chinese Taipei,TW,TPE,Japan,Tokyo 2020,Summer,2020
Archery,Men's Team,Men,BRONZE,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Baseball,baseball men,Men,GOLD,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Baseball,baseball men,Men,SILVER,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Baseball,baseball men,Men,BRONZE,GameTeam,Dominican Rep.,,,Dominican Republic,DO,DOM,Japan,Tokyo 2020,Summer,2020
Softball,softball women,Women,GOLD,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Softball,softball women,Women,SILVER,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Softball,softball women,Women,BRONZE,GameTeam,Canada,,,Canada,CA,CAN,Japan,Tokyo 2020,Summer,2020
Equestrian,Dressage Team,Open,GOLD,GameTeam,Germany,,,Germany,DE,GER,Japan,Tokyo 2020,Summer,2020
Equestrian,Dressage Team,Open,SILVER,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Equestrian,Dressage Team,Open,BRONZE,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Equestrian,Eventing Team,Open,GOLD,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Equestrian,Eventing Team,Open,SILVER,GameTeam,Australia,,,Australia,AU,AUS,Japan,Tokyo 2020,Summer,2020
Equestrian,Eventing Team,Open,BRONZE,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Equestrian,Jumping Team,Open,GOLD,GameTeam,Sweden,,,Sweden,SE,SWE,Japan,Tokyo 2020,Summer,2020
Equestrian,Jumping Team,Open,SILVER,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Equestrian,Jumping Team,Open,BRONZE,GameTeam,Belgium,,,Belgium,BE,BEL,Japan,Tokyo 2020,Summer,2020
Athletics,4 x 400m Relay Mixed,Mixed,GOLD,GameTeam,Poland,,,Poland,PL,POL,Japan,Tokyo 2020,Summer,2020
Athletics,4 x 400m Relay Mixed,Mixed,SILVER,GameTeam,Dominican Republic,,,Dominican Republic,DO,DOM,Japan,Tokyo 2020,Summer,2020
Athletics,4 x 400m Relay Mixed,Mixed,BRONZE,GameTeam,United States of America,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Athletics,Women's 4 x 100m Relay,Women,GOLD,GameTeam,Jamaica,,,Jamaica,JM,JAM,Japan,Tokyo 2020,Summer,2020
Athletics,Women's 4 x 100m Relay,Women,SILVER,GameTeam,United States of America,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Athletics,Women's 4 x 100m Relay,Women,BRONZE,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Athletics,Women's 4 x 400m Relay,Women,GOLD,GameTeam,United States of America,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Athletics,Women's 4 x 400m Relay,Women,SILVER,GameTeam,Poland,,,Poland,PL,POL,Japan,Tokyo 2020,Summer,2020
Athletics,Women's 4 x 400m Relay,Women,BRONZE,GameTeam,Jamaica,,,Jamaica,JM,JAM,Japan,Tokyo 2020,Summer,2020
Athletics,Men's 4 x 100m Relay,Men,GOLD,GameTeam,Italy,,,Italy,IT,ITA,Japan,Tokyo 2020,Summer,2020
Athletics,Men's 4 x 100m Relay,Men,SILVER,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Athletics,Men's 4 x 100m Relay,Men,BRONZE,GameTeam,Canada,,,Canada,CA,CAN,Japan,Tokyo 2020,Summer,2020
Athletics,Men's 4 x 400m Relay,Men,GOLD,GameTeam,United States of America,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Athletics,Men's 4 x 400m Relay,Men,SILVER,GameTeam,Netherlands,,,Netherlands,NL,NED,Japan,Tokyo 2020,Summer,2020
Athletics,Men's 4 x 400m Relay,Men,BRONZE,GameTeam,Botswana,,,Botswana,BW,BOT,Japan,Tokyo 2020,Summer,2020
Swimming,Mixed 4 x 100m Medley Relay,Mixed,GOLD,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Swimming,Mixed 4 x 100m Medley Relay,Mixed,SILVER,GameTeam,China,,,China,CN,CHN,Japan,Tokyo 2020,Summer,2020
